Comune,Cratere Centro Italia 2016,Variaz,Variaz_init,Variaz_end
Abbateggio,0,-14.463815772079336,0.7050661311664652,-19.22715064697638
Acciano,0,-14.874263873933572,-4.698443533680987,-18.069676707692903
Accumoli,1,-50.16135731665767,-10.301178681952232,-62.678257390201686
Acquacanina,1,-34.80012492043,-9.641580345450821,-42.70041536635985
Acqualagna,0,-9.51870024700976,-9.400079149697959,-9.555949664160467
Acquapendente,0,0.9084830167338569,-2.141305751920816,1.8661782045178437
Acquasanta Terme,1,-20.58104334674201,-9.636774740819055,-24.01776443557048
Acquasparta,0,-2.084250204215677,0.33795603546708225,-2.844871819524401
Acquaviva Picena,0,6.299098881197833,1.9677874337711214,7.659218038507225
Agugliano,0,13.574457415669746,5.573528854167347,16.086910363201056
Alanno,0,1.9684124794492392,-1.1859451246295818,2.9589443907162267
Alba Adriatica,0,-12.924079167022414,-12.12576270959978,-13.174766636745014
Allerona,0,-2.98800464912007,2.6805581062773323,-4.768047689573122
Allumiere,0,0.8722316872873553,-1.2069979643211097,1.5251517360819433
Altidona,0,-1.4754177718960295,-1.975737834478164,-1.3183071807589
Alviano,0,-4.844110939883468,12.026932576013838,-10.141958893857167
Amandola,1,-16.14601152663933,-2.8433892259256437,-20.323303243770674
Amatrice,1,-33.683988202235234,-16.59137716427442,-39.051412827167375
Amelia,0,0.2989591059717876,-0.09376727828638466,0.42228311194409845
Ancarano,0,0.33446030861631404,-2.495546112674632,1.2231394063046694
Ancona,0,3.3560326701125125,4.689066459935286,2.937433172734907
Anghiari,0,-2.2874105268946363,4.123068505809532,-4.300430242918813
Antrodoco,1,2.9160351757149807,2.4541710403107273,3.061069830059849
Apecchio,0,-7.168570610813305,-5.354430258658042,-7.738247272712175
Apiro,1,-17.092914584653396,0.736089116307213,-22.691581358852638
Appignano,0,19.40061975598935,-0.19427501542190576,25.55381194444121
Appignano del Tronto,1,-9.717244610512013,-0.613910178388735,-12.575875237012276
Arcevia,0,-10.025877353251628,-1.470766034849575,-12.71235486434961
Arezzo,0,-7.014312857352636,2.634184571626417,-10.044135660836671
Ari,0,-5.073366787270029,2.5716272150705928,-7.474049104002653
Arielli,0,-6.011913857181624,3.741478230229256,-9.07467569914495
Arlena di Castro,0,4.881127785186,5.592227579178368,4.657828106945961
Arquata del Tronto,1,-46.61887173361411,3.0677253076339217,-62.22146538627419
Arrone,1,6.7596080224581065,-1.165645310239236,9.248297421770618
Arsita,0,-12.607910484233148,-1.9639436898554372,-15.950330747130485
Ascoli Piceno,1,-1.4010261110831155,3.530013125011118,-2.949471890580368
Ascrea,0,-21.08428171814321,-19.434692555594417,-21.602285987498067
Assisi,0,2.761683500797573,2.187809144607477,2.941891623722206
Atri,0,5.014781134279324,-3.090025961809758,7.5598540369072404
Attigliano,0,34.035955786184275,3.83915246328191,43.5183611009498
Avigliano Umbro,0,-0.5459806984349144,-2.498545889585222,0.06716415494587467
Badia Tedalda,0,9.13014047140028,5.7774041485236305,10.182967301680709
Bagnoregio,0,0.2617257171926554,8.301911664469905,-2.263054841295827
Barbara,0,-0.4941996447338638,-3.7294147116042855,0.5217231407496699
Barbarano Romano,0,-4.490282959170993,1.685968715672504,-6.429750560446756
Barchi,0,-12.162712771124717,1.6102845789222857,-16.48771174124033
Barete,0,-12.002060511586693,-3.5399201422423183,-14.659343269450822
Barisciano,0,-3.078344264795784,1.7396460535396243,-4.5912904039131766
Baschi,0,16.468374343858297,-7.14700145538927,23.884078668399525
Basciano,0,-1.2213754876290606,2.4673250090034933,-2.379701844886821
Bassano Romano,0,14.071471275208033,20.16363964248502,12.15840752847362
Bassano in Teverina,0,8.355643963427175,-3.7041162449224547,12.142651914951626
Bastia Umbra,0,2.50750244361781,3.9231261518873706,2.0629680460041766
Belforte all'Isauro,0,-0.7514359345546836,-10.071902089107795,2.175378432348695
Belforte del Chienti,1,-6.873009673175959,3.5779802131405534,-10.154831294586005
Bellante,0,0.6551618384962771,2.8534248985272845,-0.035137101454132944
Belmonte Piceno,1,-2.5339392077573106,2.0958762608489705,-3.9877946485614886
Belmonte in Sabina,0,45.33850878530373,10.618150890948257,56.24140147587839
Belvedere Ostrense,0,15.64587140924906,6.463607683100515,18.529287426081915
Bettona,0,-11.447818919172454,-1.3925313778601254,-14.605382022910646
Bevagna,0,-15.299189819392556,1.3117722204376618,-20.515366944021864
Bibbiena,0,-1.6702029929180129,2.165719603913354,-2.8747600591169817
Bisenti,0,-18.418093305246273,-13.022430153361878,-20.112440365794498
Blera,0,2.3165020837109593,2.142537424730921,2.3711304955085324
Bolognano,0,-9.38144407988704,3.826621389045979,-13.529043044622169
Bolognola,1,-26.81556507193027,-3.461072459769247,-34.14934681369647
Bolsena,0,-4.257354959466862,-4.157473818324101,-4.288719652394443
Bomarzo,0,-8.053455088714784,2.4496151257653453,-11.35163098363162
Borbona,1,0.24615247620710623,-18.54802376833885,6.147902896681485
Borgo Pace,0,-6.429822281556398,2.7747326615181067,-9.320238190119243
Borgo Velino,1,-12.061650732662935,-9.48686798365653,-12.870184449376811
Borgorose,0,10.245548155781336,0.09745950811998257,13.432252678717118
Bracciano,0,17.264951077098697,15.4582191555767,17.832301342350203
Brittoli,0,-8.57261675350753,-9.562194916796313,-8.261869250382594
Bucchianico,0,-7.7654603469368935,-0.27617520664490824,-10.117246940328966
Bussi sul Tirino,0,3.6690980319364805,1.464202251472492,4.361479779885232
Cagli,0,-9.119200503760341,-3.408022096373752,-10.912625718498285
Cagnano Amiterno,0,-9.060333199804475,-8.69504830861971,-9.175040023455164
Calascio,0,-18.46755624319303,-12.906254251594456,-20.21391724035708
Calcata,0,-8.0189589616405,3.0074255651614603,-11.481466105908142
Caldarola,1,-1.757896867991568,5.310615753691674,-3.977552403532986
Calvi dell'Umbria,0,27.598853705072944,-2.740149387135428,37.125912615578564
Camerano,0,-9.889815491577652,3.3800718152544436,-14.056827760363378
Camerata Picena,0,10.784325630078087,11.922883482020811,10.426795499786373
Camerino,1,-20.485242504979475,-4.3605112388134595,-25.548733359373678
Campagnano di Roma,0,24.927058271956497,18.324250295737805,27.000473155530756
Campello sul Clitunno,0,6.66243640965484,1.9506425410093837,8.142034721580686
Campli,1,-0.5523132168074248,6.203512417416787,-2.6737787313710197
Campofilone,0,-3.272861905330736,-5.937753580748598,-2.4360321682210784
Camporotondo di Fiastrone,1,-5.577601124993138,-4.124235462747269,-6.033987257412835
Campotosto,1,-38.62506907085444,-25.690690537417172,-42.68672481756163
Canale Monterano,0,-5.153547543837618,2.2736487637784792,-7.4858369914339
Canepina,0,-5.423142504484014,-0.19858918912920015,-7.063757625066066
Cannara,0,-13.021759683685918,-4.110243813840125,-15.820155412638842
Canosa Sannita,0,48.582257853000364,73.18112226461733,40.857718267149245
Cantalice,1,-5.3404586962383895,2.900310742785288,-7.928226516916529
Cantalupo in Sabina,0,7.183072601002226,1.2110174892126941,9.058418362821847
Cantiano,0,-0.5880579717135169,2.045264455828179,-1.4149743282363998
Canzano,0,0.42083769267083637,0.9897682069661878,0.24218203581874784
Capena,0,17.205223630386836,17.08099362381782,17.244234358176318
Capestrano,0,3.1897370896907575,-3.1694454190644574,5.18664866254091
Capitignano,1,19.63790744769639,5.689337536759764,24.01803974324062
Capodimonte,0,-11.041729419244243,-5.0330820437608645,-12.928565889931932
Capolona,0,8.107569437898732,6.6149242984735315,8.576290118422191
Caporciano,0,18.65069884637508,6.7013369025386265,22.40303951610261
Cappelle sul Tavo,0,-5.643332800282524,5.495674236535903,-9.141205684298304
Capranica,0,-2.045313182207633,-8.1791035657948,-0.11917928283322679
Caprarola,0,-8.447664774170569,-4.449278779034408,-9.703238624333927
Caprese Michelangelo,0,-11.309462811665764,-0.3779155616801254,-14.742189138139405
Caramanico Terme,0,-13.076967927024416,-9.920981685632894,-14.068011263257334
Carapelle Calvisio,0,-10.282053848203446,-5.466283027266413,-11.794303020370391
Carassai,0,-20.909496663238556,-13.298535698542974,-23.29949191970215
Carbognano,0,-24.797242238110513,-20.21314156417385,-26.236742311318224
Carpegna,0,-2.4933275655987766,4.1342612109458745,-4.574524120305695
Carpineto della Nora,0,-16.494540511239656,-11.164779232578807,-18.16819305435085
Carsoli,0,-2.2916873064245604,-7.398555294797575,-0.6880277522350663
Cartoceto,0,-0.42225820556636107,5.293095168867906,-2.216994444166622
Casacanditella,0,3.5245157899714314,12.266590523546322,0.7793279954456531
Casalincontrada,0,-2.3371689387319856,3.0023920478024286,-4.0138987877762125
Casaprota,0,-1.4951116213451412,-6.333427616795636,0.024217190356542864
Cascia,1,-21.933894475292533,-14.670552933889724,-24.214730221337213
Casoli,0,-4.657468694191732,0.8324032632854951,-6.381399219893493
Casperia,0,-6.296922295754964,-3.6013796850168216,-7.1433770447864395
Castel Castagna,0,-6.9405161180538535,-6.643055659023742,-7.033924701984999
Castel Focognano,0,-22.101141320792763,5.186637341087021,-30.67005421679137
Castel Frentano,0,-12.010259732106451,-4.773331808137915,-14.282801069512416
Castel Giorgio,0,15.12086487692558,-0.8159753930915589,20.125354168756157
Castel Ritaldi,0,-20.00249014345296,0.24190540031623348,-26.359638674895603
Castel Sant'Angelo,1,-11.80640420785325,1.5813549666576383,-16.010430620572908
Castel Sant'Elia,0,8.079915598902877,3.090218142937247,9.64678124257963
Castel Viscardo,0,16.19242124062249,10.29620200094481,18.043953008984804
Castel del Monte,0,-6.229297429073326,-2.4345790783306356,-7.420915530908285
Castel di Lama,1,7.921358487484096,1.2354036560085206,10.020883160686255
Castel di Tora,0,-33.341503397399,-18.891544102630238,-37.87908207252119
Castelbellino,0,-13.623947553574991,-3.5146375575069464,-16.798474797742664
Casteldelci,0,-8.619748861155461,-2.8463497943602007,-10.432712617942277
Castelfidardo,0,0.3105880085259171,0.42019428549359505,0.27616942679274
Castellalto,0,12.33804157210124,6.036999287442287,14.316695941893286
Castelleone di Suasa,0,-15.13098851368548,-6.308204424883747,-17.90152067366515
Castelli,1,-11.245951047412648,-1.6287486613081432,-14.265946576211133
Castelnuovo di Farfa,0,101.17809011860119,69.03436018420196,111.27186965900582
Castelplanio,0,1.5882625258213077,-2.810432807102762,2.969541582313978
Castelraimondo,1,-1.262757420913806,3.3609207233488556,-2.7146856180838848
Castelsantangelo sul Nera,1,-64.82556144128777,-38.635599660238114,-73.04973769367193
Castelvecchio Calvisio,0,-23.825217832266684,-14.895188621411481,-26.62942712371178
Castiglion Fiorentino,0,-4.517157954328981,2.4595972675084945,-6.707999815566458
Castiglione Messer Raimondo,0,-1.245096812080552,6.090952405970372,-3.5487642351109723
Castiglione a Casauria,0,11.357893924596759,2.3505832678997707,14.186371148807723
Castiglione del Lago,0,1.7677910441974487,-2.387630208396903,3.0726771326134794
Castiglione in Teverina,0,-0.15373260361645794,12.87782358917545,-4.245904095440363
Castignano,1,-12.974859958107979,-7.896254581527269,-14.569644482136084
Castilenti,0,8.567361090797517,8.03265919441985,8.735268271230147
Castorano,1,-4.291903752164247,-5.54467622952319,-3.8985079257758812
Catignano,0,23.037690116775146,12.728258789853792,26.2750594952903
Celano,0,-25.53824540005653,-18.603758160910992,-27.715814262180928
Celleno,0,7.882761125802601,7.246479380693555,8.082566427608654
Cellino Attanasio,0,-3.775880080277252,18.910005885153446,-10.899705849133081
Cepagatti,0,-5.230697600042955,3.5113758084657456,-7.9758849784712345
Cermignano,0,29.92135962364645,10.339020287326504,36.07060915223575
Cerreto d'Esi,1,8.110204040090013,5.174293389623132,9.032139201834365
Cerreto di Spoleto,1,-16.032242578375293,-14.283595233407215,-16.581353115019407
Cessapalombo,1,-8.296401274657043,6.650839217050225,-12.99013627581012
Cetona,0,-10.140298219821368,-4.513774902698209,-11.907140028718272
Chianciano Terme,0,-7.175516320014241,3.4194951398106923,-10.502563620429893
Chiaravalle,0,2.88871060724228,4.120482270286317,2.501909460136505
Chieti,0,0.37264157474005094,3.852802516235062,-0.7201991559489123
Chitignano,0,-8.451756908461224,-4.571980741551344,-9.670084880194036
Chiusi,0,0.9334994952488428,-0.6063594777113891,1.4170462718082433
Chiusi della Verna,0,6.0223800266126055,-15.228691707120879,12.695645186424509
Cingoli,1,8.128958982934147,2.8221336137341178,9.795409187855947
Citerna,0,3.5728588623174335,11.815236709885198,0.9845859689146604
Cittaducale,1,-1.946970199124059,0.21829243667249418,-2.6269063402442687
Cittareale,1,-8.289090898425183,-13.889608009340368,-6.530415562824358
Città Sant'Angelo,0,-2.592413818753724,-4.937386489522333,-1.8560451018898698
Città della Pieve,0,-0.9158088559348123,-4.3699386662420014,0.16885757451166486
Città di Castello,0,45.454921216442024,12.73797557995712,55.728702049097414
Civita Castellana,0,3.4715436301486253,8.673970110059567,1.8378767821956046
Civitanova Marche,0,4.261127093175919,8.52453490399135,2.922331047382998
Civitaquana,0,16.259816796745625,7.9319895687934485,18.8749225191083
Civitella Casanova,0,1.4166848927721543,0.8704628707629588,1.5882096250147093
Civitella San Paolo,0,9.995434795058948,12.926200986958724,9.0751150970686
Civitella d'Agliano,0,-15.95347085340991,-2.3540087298320675,-20.22397626219807
Civitella del Tronto,1,-16.721625923820543,-0.8246277439782248,-21.71360399571882
Collalto Sabino,0,-4.434368866850998,-3.2859682723703307,-4.794989816828299
Collazzone,0,-3.2333687639101516,1.5589712684888335,-4.738260195875669
Colle di Tora,0,-13.521488800843715,-11.409909437134466,-14.18456731173359
Collecorvino,0,1.5538839648403577,8.332690872295153,-0.5747981330513294
Colledara,0,-15.960597535987986,-4.072202321783544,-19.693793422908428
Collegiove,0,-14.342394404066521,-3.88304109221344,-17.626842309785854
Collepietro,0,4.394206617738584,5.716988572061089,3.9788264034882217
Collevecchio,0,-13.119001930419907,-6.745127480490014,-15.120527069136314
Colli del Tronto,1,19.34662297255635,2.7610536105807646,24.554826284167415
Colli sul Velino,0,-6.45182635085495,4.340222553804886,-9.840747383206114
Colmurano,1,7.839279795383678,2.397911629873888,9.547979152083197
Colonnella,0,-12.908330432055712,-6.027315465836983,-15.069107921942079
Comunanza,1,-14.788642481893987,-5.890972362326046,-17.58269036599006
Concerviano,0,-22.11619389538204,-12.03106468241737,-25.283127885927414
Configni,0,81.18364076968597,12.705973381000065,102.68700952848219
Contigliano,0,-3.496235390209624,8.186102604189376,-7.164725153924382
Controguerra,0,1.814910156721419,8.130119178100035,-0.16819285414455246
Corchiano,0,-6.3814722897627405,-1.5619244987737424,-7.894907506707674
Corciano,0,5.682006767022948,3.3213284017856752,6.423307388734781
Corfinio,0,-9.139985650446595,-0.2705759881469918,-11.925159180945265
Corinaldo,0,-13.576218400095321,-4.0528547952954135,-16.566746658830198
Corridonia,1,-3.2749400896919934,2.5491060599283095,-5.103808052040631
Corropoli,0,19.32766856711205,11.672795818658487,21.731453009378995
Cortino,1,-6.766184544804202,4.769174394351477,-10.388519920595996
Cortona,0,-2.481613826214605,-0.8243806747062271,-3.0020184622824884
Corvara,0,-1.4717202161686034,4.324071225360222,-3.291715630277318
Cossignano,1,-13.468933625538956,-2.3516297999255946,-16.959991263481218
Costacciaro,0,20.478242737465624,27.731529620993843,18.2005643567968
Cottanello,0,-15.464364627785132,-0.4099116758770056,-20.19176650392318
Crecchio,0,-8.856091165839302,17.10519879549871,-17.008459854509404
