Comune,Cratere Centro Italia 2016,Ricavi delle vendite migl EUR Ultimo anno disp.,Dipendenti Ultimo anno disp.,Stato giuridico,ateco2,ComuneOP,costituzione,ubilancio
Ascoli Piceno,1.0,0,0,In liquidazione,70,Ascoli Piceno,2012,2017
Ascoli Piceno,1.0,0,0,In liquidazione,63,Ascoli Piceno,2011,2018
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2011,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2011,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),02,Ascoli Piceno,2011,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),88,Ascoli Piceno,2011,2015
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2011,2013
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2005,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2011,2017
Ascoli Piceno,1.0,0,0,In liquidazione,68,Ascoli Piceno,2011,2018
Ascoli Piceno,1.0,0,0,In liquidazione,43,Ascoli Piceno,2011,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,2011,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),16,Ascoli Piceno,2011,2013
Ascoli Piceno,1.0,0,0,In liquidazione,66,Ascoli Piceno,1986,2012
Ascoli Piceno,1.0,0,2,Cessata (Chiusura per fallimento),49,Ascoli Piceno,2010,2013
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),81,Ascoli Piceno,2010,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),74,Ascoli Piceno,2010,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,2008,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2010,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),47,Ascoli Piceno,2010,2014
Ascoli Piceno,1.0,0,0,In liquidazione,43,Ascoli Piceno,2010,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2010,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),88,Ascoli Piceno,2010,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2010,2015
Ascoli Piceno,1.0,0,0,In liquidazione,47,Ascoli Piceno,2010,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),74,Ascoli Piceno,2010,2018
Ascoli Piceno,1.0,0,0,Fallita,41,Ascoli Piceno,2010,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),56,Ascoli Piceno,2009,2016
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2005,2018
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),47,Ascoli Piceno,2009,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2009,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),61,Ascoli Piceno,2009,2012
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,2009,2013
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),73,Ascoli Piceno,2009,2014
Ascoli Piceno,1.0,0,0,In liquidazione,46,Ascoli Piceno,1992,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),74,Ascoli Piceno,2009,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2009,2019
Ascoli Piceno,1.0,0,0,Cessata,11,Ascoli Piceno,2009,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),01,Ascoli Piceno,2009,2013
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),55,Ascoli Piceno,2009,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2009,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),56,Ascoli Piceno,2008,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2008,2018
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2008,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),82,Ascoli Piceno,2008,2014
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,2008,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1988,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),80,Ascoli Piceno,2008,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2008,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),64,Ascoli Piceno,2008,2017
Ascoli Piceno,1.0,0,0,In liquidazione,32,Ascoli Piceno,2006,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2008,2016
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,1989,2018
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),62,Ascoli Piceno,2008,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),46,Ascoli Piceno,2008,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),10,Ascoli Piceno,2007,2011
Ascoli Piceno,1.0,0,0,Cessata,56,Ascoli Piceno,2007,2007
Ascoli Piceno,1.0,0,0,Cessata,82,Ascoli Piceno,2007,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),46,Ascoli Piceno,2004,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),71,Ascoli Piceno,2007,2016
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2007,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),56,Ascoli Piceno,2007,2010
Ascoli Piceno,1.0,0,0,Cessata,52,Ascoli Piceno,2007,2009
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2007,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),74,Ascoli Piceno,2007,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),47,Ascoli Piceno,2007,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2006,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),47,Ascoli Piceno,1993,2011
Ascoli Piceno,1.0,0,0,In liquidazione,68,Ascoli Piceno,1986,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2006,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),71,Ascoli Piceno,2006,2012
Ascoli Piceno,1.0,0,0,Cessata,68,Ascoli Piceno,2006,2007
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),25,Ascoli Piceno,2006,2015
Ascoli Piceno,1.0,0,0,In liquidazione,63,Ascoli Piceno,2006,2020
Ascoli Piceno,1.0,0,0,Fallita,62,Ascoli Piceno,2000,2006
Ascoli Piceno,1.0,0,0,In liquidazione,28,Ascoli Piceno,1993,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),22,Ascoli Piceno,1993,2009
Ascoli Piceno,1.0,0,0,Cessata,70,Ascoli Piceno,2005,2008
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),35,Ascoli Piceno,2005,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),62,Ascoli Piceno,2002,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),45,Ascoli Piceno,2005,2018
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),33,Ascoli Piceno,2005,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),58,Ascoli Piceno,2005,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),28,Ascoli Piceno,2005,2013
Ascoli Piceno,1.0,0,0,Cessata,18,Ascoli Piceno,2005,2007
Ascoli Piceno,1.0,0,0,Cessata,15,Ascoli Piceno,1989,2009
Ascoli Piceno,1.0,0,0,Cessata,56,Ascoli Piceno,2005,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),18,Ascoli Piceno,2004,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,2004,2010
Ascoli Piceno,1.0,0,0,In liquidazione,25,Ascoli Piceno,2004,2020
Ascoli Piceno,1.0,0,0,Cessata,47,Ascoli Piceno,2004,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2004,2007
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2004,2009
Ascoli Piceno,1.0,0,0,Cessata,56,Ascoli Piceno,2004,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),88,Ascoli Piceno,2004,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),82,Ascoli Piceno,2004,2015
Ascoli Piceno,1.0,0,0,In liquidazione,52,Ascoli Piceno,2004,2013
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2004,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2003,2011
Ascoli Piceno,1.0,0,0,Cessata (Fusione),47,Ascoli Piceno,2003,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2003,2011
Ascoli Piceno,1.0,0,0,Cessata,63,Ascoli Piceno,2003,2008
Ascoli Piceno,1.0,0,0,Fallita,55,Ascoli Piceno,2003,2015
Ascoli Piceno,1.0,0,0,Cessata,71,Ascoli Piceno,2003,2007
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),45,Ascoli Piceno,2003,2015
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2003,2005
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2003,2011
Ascoli Piceno,1.0,0,0,Attiva (Stato di insolvenza),41,Ascoli Piceno,2003,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2003,2017
Ascoli Piceno,1.0,0,0,Cessata,73,Ascoli Piceno,2003,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2003,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2003,2012
Ascoli Piceno,1.0,0,0,Fallita,20,Ascoli Piceno,2001,2006
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),11,Ascoli Piceno,1971,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),49,Ascoli Piceno,2002,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),47,Ascoli Piceno,2002,2007
Ascoli Piceno,1.0,0,0,Fallita,46,Ascoli Piceno,2002,2012
Ascoli Piceno,1.0,0,0,Cessata,70,Ascoli Piceno,2002,2009
Ascoli Piceno,1.0,0,0,In liquidazione,28,Ascoli Piceno,2002,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,2002,2011
Ascoli Piceno,1.0,0,0,Fallita,70,Ascoli Piceno,2002,2014
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,2002,2009
Ascoli Piceno,1.0,0,0,In liquidazione,74,Ascoli Piceno,2002,2020
Ascoli Piceno,1.0,0,0,Fallita,31,Ascoli Piceno,2000,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),32,Ascoli Piceno,2002,2009
Ascoli Piceno,1.0,0,0,Cessata,14,Ascoli Piceno,1999,2008
Ascoli Piceno,1.0,0,0,In liquidazione,66,Ascoli Piceno,2001,2014
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,2001,2017
Ascoli Piceno,1.0,0,0,Cessata,69,Ascoli Piceno,2001,2012
Ascoli Piceno,1.0,0,0,Cessata,47,Ascoli Piceno,2001,2007
Ascoli Piceno,1.0,0,0,In liquidazione,25,Ascoli Piceno,2001,2018
Ascoli Piceno,1.0,0,0,In liquidazione,81,Ascoli Piceno,2001,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),45,Ascoli Piceno,2001,2016
Ascoli Piceno,1.0,0,0,In liquidazione,71,Ascoli Piceno,2001,2019
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,2001,2014
Ascoli Piceno,1.0,0,0,Cessata,43,Ascoli Piceno,2001,2010
Ascoli Piceno,1.0,0,0,Fallita,41,Ascoli Piceno,2001,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,2001,2008
Ascoli Piceno,1.0,0,0,Fallita,56,Ascoli Piceno,2001,2004
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),43,Ascoli Piceno,2001,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,2001,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),46,Ascoli Piceno,1992,2010
Ascoli Piceno,1.0,0,0,Fallita,47,Ascoli Piceno,2006,2006
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,2000,2009
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,2000,2014
Ascoli Piceno,1.0,0,0,Cessata,01,Ascoli Piceno,2000,2008
Ascoli Piceno,1.0,0,0,Cessata,18,Ascoli Piceno,2000,2010
Ascoli Piceno,1.0,0,0,In liquidazione,74,Ascoli Piceno,2000,2020
Ascoli Piceno,1.0,0,0,In liquidazione,56,Ascoli Piceno,2000,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),82,Ascoli Piceno,2000,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),71,Ascoli Piceno,2000,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),46,Ascoli Piceno,2000,2016
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),62,Ascoli Piceno,1999,2020
Ascoli Piceno,1.0,0,1,Cessata (In liquidazione),81,Ascoli Piceno,1999,2011
Ascoli Piceno,1.0,0,0,Cessata,88,Ascoli Piceno,1999,2007
Ascoli Piceno,1.0,0,0,Cessata,47,Ascoli Piceno,1999,2007
Ascoli Piceno,1.0,0,0,In liquidazione,18,Ascoli Piceno,1999,2007
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1999,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1999,2009
Ascoli Piceno,1.0,0,0,Cessata,45,Ascoli Piceno,1999,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),63,Ascoli Piceno,1999,2016
Ascoli Piceno,1.0,0,0,Cessata,99,Ascoli Piceno,1999,2008
Ascoli Piceno,1.0,0,0,Cessata,47,Ascoli Piceno,1999,2007
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,1998,2019
Ascoli Piceno,1.0,0,0,Cessata,99,Ascoli Piceno,1998,2008
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,1988,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),14,Ascoli Piceno,1998,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,1998,2013
Ascoli Piceno,1.0,0,0,In liquidazione,63,Ascoli Piceno,1998,2020
Ascoli Piceno,1.0,0,0,Fallita,46,Ascoli Piceno,1998,2006
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,1992,2009
Ascoli Piceno,1.0,0,0,Fallita,70,Ascoli Piceno,1997,2013
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),56,Ascoli Piceno,1997,2011
Ascoli Piceno,1.0,0,0,Cessata,88,Ascoli Piceno,1992,2005
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),52,Ascoli Piceno,1997,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1996,2018
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),85,Ascoli Piceno,1996,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),15,Ascoli Piceno,1995,2014
Ascoli Piceno,1.0,0,0,In liquidazione,28,Ascoli Piceno,1995,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),46,Ascoli Piceno,1995,2007
Ascoli Piceno,1.0,0,0,Fallita,68,Ascoli Piceno,1995,2007
Ascoli Piceno,1.0,0,0,Fallita,47,Ascoli Piceno,1995,1999
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1905,2009
Ascoli Piceno,1.0,0,0,Fallita,29,Ascoli Piceno,1994,2009
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,1994,2020
Ascoli Piceno,1.0,0,0,Fallita,68,Ascoli Piceno,1994,2006
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,1994,2012
Ascoli Piceno,1.0,0,0,Cessata,46,Ascoli Piceno,1994,2010
Ascoli Piceno,1.0,0,0,In liquidazione,46,Ascoli Piceno,1994,2012
Ascoli Piceno,1.0,0,0,Cessata,71,Ascoli Piceno,1993,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),49,Ascoli Piceno,1992,2015
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,1992,2012
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1992,2011
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1963,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),60,Ascoli Piceno,1985,2015
Ascoli Piceno,1.0,0,0,Fallita,41,Ascoli Piceno,1990,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),13,Ascoli Piceno,1989,2017
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),69,Ascoli Piceno,1989,2009
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,1988,2006
Ascoli Piceno,1.0,0,0,Cessata,56,Ascoli Piceno,1988,2012
Ascoli Piceno,1.0,0,0,Cessata (Fusione),35,Ascoli Piceno,1988,2017
Ascoli Piceno,1.0,0,0,Cessata,70,Ascoli Piceno,1987,2009
Ascoli Piceno,1.0,0,0,In liquidazione,68,Ascoli Piceno,1987,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),49,Ascoli Piceno,1987,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),70,Ascoli Piceno,1987,2009
Ascoli Piceno,1.0,0,0,In liquidazione,46,Ascoli Piceno,1987,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),71,Ascoli Piceno,1987,2007
Ascoli Piceno,1.0,0,0,Fallita,32,Ascoli Piceno,1987,2006
Ascoli Piceno,1.0,0,0,Fallita,43,Ascoli Piceno,1985,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),55,Ascoli Piceno,1985,2014
Ascoli Piceno,1.0,0,0,In liquidazione,43,Ascoli Piceno,1985,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),41,Ascoli Piceno,1984,2009
Ascoli Piceno,1.0,0,0,Cessata,58,Ascoli Piceno,1982,2008
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),68,Ascoli Piceno,1982,2014
Ascoli Piceno,1.0,0,0,In liquidazione,70,Ascoli Piceno,1982,2020
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),73,Ascoli Piceno,1981,2013
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,1981,2012
Ascoli Piceno,1.0,0,0,In liquidazione,46,Ascoli Piceno,1980,2019
Ascoli Piceno,1.0,0,0,In liquidazione,43,Ascoli Piceno,1980,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),42,Ascoli Piceno,1980,2017
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,1980,2010
Ascoli Piceno,1.0,0,0,In liquidazione,68,Ascoli Piceno,1978,2020
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,1978,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),60,Ascoli Piceno,1976,2010
Ascoli Piceno,1.0,0,0,Cessata,01,Ascoli Piceno,1975,2008
Ascoli Piceno,1.0,0,0,In liquidazione,27,Ascoli Piceno,1972,2019
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,1972,2010
Ascoli Piceno,1.0,0,0,Cessata,41,Ascoli Piceno,1967,2006
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),10,Ascoli Piceno,1970,2010
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),58,Ascoli Piceno,1969,2012
Ascoli Piceno,1.0,0,0,Fallita,41,Ascoli Piceno,1968,2015
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),14,Ascoli Piceno,1967,2012
Ascoli Piceno,1.0,0,0,In liquidazione,63,Ascoli Piceno,1965,2019
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),17,Ascoli Piceno,1961,2015
Ascoli Piceno,1.0,0,0,Cessata (In liquidazione),13,Ascoli Piceno,1961,2020
Ascoli Piceno,1.0,0,0,In liquidazione,41,Ascoli Piceno,1960,2017
Ascoli Piceno,1.0,0,1,Fallita,43,Ascoli Piceno,1924,2019
Castel di Lama,1.0,6108.0,41,Fallita,47,Castel di Lama,2012,2018
Castel di Lama,1.0,3456.0,14,Fallita,45,Castel di Lama,1987,2010
Castel di Lama,1.0,2174.0,17,Fallita,49,Castel di Lama,1992,2009
Castel di Lama,1.0,1597.0,0,Cessata (Fusione),35,Castel di Lama,2002,2009
Castel di Lama,1.0,773.0,7,Cessata (In liquidazione),41,Castel di Lama,2009,2012
Castel di Lama,1.0,452.0,14,Cessata,55,Castel di Lama,2014,2015
Castel di Lama,1.0,446.0,4,Cessata (In liquidazione),13,Castel di Lama,1983,2014
Castel di Lama,1.0,307.0,1,Cessata (In liquidazione),43,Castel di Lama,2006,2016
Castel di Lama,1.0,144.0,2,Fallita,47,Castel di Lama,2013,2019
Castel di Lama,1.0,112.0,3,Cessata (Fusione),63,Castel di Lama,2004,2017
Castel di Lama,1.0,100.0,0,Cessata (In liquidazione),68,Castel di Lama,2004,2018
Castel di Lama,1.0,65.0,0,Cessata (In liquidazione),47,Castel di Lama,2014,2016
Castel di Lama,1.0,42.0,3,Cessata,41,Castel di Lama,2010,2013
Castel di Lama,1.0,30,0,Cessata (Fusione),90,Castel di Lama,1988,2008
Castel di Lama,1.0,7,2,Cessata (In liquidazione),43,Castel di Lama,2005,2012
Castel di Lama,1.0,4,0,Cessata (In liquidazione),85,Castel di Lama,2014,2018
Castel di Lama,1.0,3,0,Cessata,01,Castel di Lama,1997,2005
Castel di Lama,1.0,0,0,In liquidazione,25,Castel di Lama,2000,2020
Castel di Lama,1.0,0,0,In liquidazione,41,Castel di Lama,2014,2015
Castel di Lama,1.0,0,0,Cessata (In liquidazione),43,Castel di Lama,2011,2017
Castel di Lama,1.0,0,0,Cessata (In liquidazione),81,Castel di Lama,2009,2016
Castel di Lama,1.0,0,0,Cessata,56,Castel di Lama,2008,2008
Castel di Lama,1.0,0,0,In liquidazione,41,Castel di Lama,1988,2020
Castel di Lama,1.0,0,0,In liquidazione,68,Castel di Lama,2005,2020
Castel di Lama,1.0,0,0,Fallita,41,Castel di Lama,2005,2017
Castel di Lama,1.0,0,0,Cessata (In liquidazione),14,Castel di Lama,2004,2007
Castel di Lama,1.0,0,0,Cessata (In liquidazione),68,Castel di Lama,2004,2011
Castel di Lama,1.0,0,0,Cessata (In liquidazione),70,Castel di Lama,2003,2018
Castel di Lama,1.0,0,0,Cessata,01,Castel di Lama,2003,2008
Castel di Lama,1.0,0,0,Fallita,41,Castel di Lama,2001,2016
Castel di Lama,1.0,0,0,Cessata,99,Castel di Lama,2000,2007
Castel di Lama,1.0,0,0,Cessata (In liquidazione),46,Castel di Lama,1996,2014
Castel di Lama,1.0,0,0,In liquidazione,41,Castel di Lama,1989,2020
Castel di Lama,1.0,0,0,Cessata (In liquidazione),43,Castel di Lama,1995,2013
Castel di Lama,1.0,0,0,Cessata (In liquidazione),16,Castel di Lama,1973,2012
Castignano,1.0,17750.0,120,Cessata (Fusione),64,Castignano,1995,2016
Castignano,1.0,1992.0,8,Fallita,49,Castignano,2002,2013
Castignano,1.0,29,1,Fallita,71,Castignano,1999,2011
Castignano,1.0,12,0,Cessata (In liquidazione),46,Castignano,2012,2013
Castignano,1.0,1,0,Cessata (In liquidazione),47,Castignano,2007,2014
Castignano,1.0,0,0,Cessata (In liquidazione),68,Castignano,2011,2013
Castignano,1.0,0,0,In liquidazione,41,Castignano,2003,2020
Castignano,1.0,0,0,Cessata (In liquidazione),86,Castignano,2005,2016
Castignano,1.0,0,0,In liquidazione,90,Castignano,2004,2019
Castignano,1.0,0,0,In liquidazione,47,Castignano,2004,2020
Castignano,1.0,0,0,Cessata,14,Castignano,2001,2010
Castignano,1.0,0,0,Cessata (In liquidazione),41,Castignano,1998,2016
Castorano,1.0,3743.0,16,In liquidazione,41,Castorano,2000,2013
Castorano,1.0,356.0,2,Fallita,45,Castorano,1994,2013
Castorano,1.0,281.0,2,Fallita,41,Castorano,2009,2016
Castorano,1.0,136.0,0,Fallita,41,Castorano,2003,2014
Castorano,1.0,114.0,5,Cessata (In liquidazione),10,Castorano,2014,2018
Castorano,1.0,73.0,3,Cessata,41,Castorano,2013,2015
Castorano,1.0,17,0,Cessata (Fusione),35,Castorano,2010,2016
Castorano,1.0,14,0,Cessata (In liquidazione),74,Castorano,2004,2011
Castorano,1.0,10,1,Cessata (In liquidazione),86,Castorano,2013,2015
Castorano,1.0,0,0,Cessata (In liquidazione),35,Castorano,2010,2016
Castorano,1.0,0,0,Cessata (In liquidazione),47,Castorano,2008,2010
Castorano,1.0,0,0,Cessata (In liquidazione),41,Castorano,2006,2013
Castorano,1.0,0,0,Cessata (In liquidazione),14,Castorano,2004,2020
Castorano,1.0,0,0,Fallita,01,Castorano,2001,2006
Colli del Tronto,1.0,1114.0,12,In liquidazione,55,Colli del Tronto,2013,2015
Colli del Tronto,1.0,654.0,0,Fallita,01,Colli del Tronto,1987,2010
Colli del Tronto,1.0,231.0,6,Cessata (In liquidazione),41,Colli del Tronto,1996,2012
Colli del Tronto,1.0,210.0,0,Cessata (In liquidazione),41,Colli del Tronto,2005,2015
Colli del Tronto,1.0,163.0,0,Fallita,41,Colli del Tronto,2006,2011
Colli del Tronto,1.0,103.0,7,Cessata,14,Colli del Tronto,2007,2009
Colli del Tronto,1.0,81.0,0,Cessata (In liquidazione),71,Colli del Tronto,2001,2009
Colli del Tronto,1.0,65.0,4,Cessata (In liquidazione),56,Colli del Tronto,2013,2013
Colli del Tronto,1.0,7,1,In liquidazione,45,Colli del Tronto,2014,2019
Colli del Tronto,1.0,2,0,Cessata (In liquidazione),62,Colli del Tronto,2014,2014
Colli del Tronto,1.0,2,0,Fallita,41,Colli del Tronto,1999,2006
Colli del Tronto,1.0,0,0,Cessata (In liquidazione),02,Colli del Tronto,2011,2013
Colli del Tronto,1.0,0,0,Cessata,68,Colli del Tronto,2010,2010
Colli del Tronto,1.0,0,0,In liquidazione,41,Colli del Tronto,2010,2020
Colli del Tronto,1.0,0,0,Cessata (In liquidazione),68,Colli del Tronto,2007,2012
Colli del Tronto,1.0,0,0,In liquidazione,41,Colli del Tronto,2007,2020
Colli del Tronto,1.0,0,0,Cessata (In liquidazione),41,Colli del Tronto,2004,2008
Colli del Tronto,1.0,0,0,Fallita,68,Colli del Tronto,1999,2006
