Comune,Cratere Centro Italia 2016,Ricavi delle vendite migl EUR Ultimo anno disp.,Dipendenti Ultimo anno disp.,Stato giuridico,ateco2,ComuneOP,costituzione,ubilancio
Fabriano,1.0,769.0,112,In liquidazione,52,Fabriano,2005,2008
Fabriano,1.0,738.0,0,Fallita,20,Fabriano,1986,2009
Fabriano,1.0,735.0,1,In liquidazione,47,Fabriano,2003,2008
Fabriano,1.0,726.0,0,In liquidazione,41,Fabriano,2009,2011
Fabriano,1.0,716.0,6,Fallita,27,Fabriano,2004,2009
Fabriano,1.0,708.0,6,Cessata (Fusione),39,Fabriano,1992,2007
Fabriano,1.0,703.0,21,In liquidazione,52,Fabriano,1991,2014
Fabriano,1.0,695.0,12,Fallita,56,Fabriano,2009,2016
Fabriano,1.0,668.0,10,Fallita,25,Fabriano,2012,2016
Fabriano,1.0,593.0,4,Fallita,10,Fabriano,2007,2011
Fabriano,1.0,586.0,9,Cessata (Fusione),71,Fabriano,1997,2016
Fabriano,1.0,569.0,13,Fallita,55,Fabriano,2011,2012
Fabriano,1.0,565.0,9,Fallita,41,Fabriano,2007,2011
Fabriano,1.0,542.0,9,In liquidazione,25,Fabriano,2009,2019
Fabriano,1.0,542.0,8,Fallita,25,Fabriano,2009,2019
Fabriano,1.0,537.0,42,Fallita,02,Fabriano,1983,2017
Fabriano,1.0,536.0,1,Cessata (In liquidazione),68,Fabriano,1992,2012
Fabriano,1.0,532.0,7,Cessata (Fusione),28,Fabriano,2000,2010
Fabriano,1.0,530.0,0,Cessata (Fusione),85,Fabriano,1986,2006
Fabriano,1.0,519.0,16,Fallita,28,Fabriano,1994,2016
Fabriano,1.0,508.0,3,Fallita,47,Fabriano,2004,2012
Fabriano,1.0,491.0,0,Fallita,41,Fabriano,2000,2014
Fabriano,1.0,485.0,8,Fallita,43,Fabriano,1999,2011
Fabriano,1.0,475.0,8,Cessata,58,Fabriano,1994,2006
Fabriano,1.0,451.0,8,Cessata (Chiusura per fallimento),56,Fabriano,1986,2012
Fabriano,1.0,449.0,0,Cessata (In liquidazione),68,Fabriano,1993,2015
Fabriano,1.0,429.0,2,Cessata,24,Fabriano,2004,2008
Fabriano,1.0,418.0,0,Fallita,25,Fabriano,2008,2010
Fabriano,1.0,405.0,4,Cessata (Chiusura per fallimento),47,Fabriano,2006,2012
Fabriano,1.0,400.0,0,Fallita,22,Fabriano,1999,2013
Fabriano,1.0,395.0,4,Attiva (Stato di insolvenza),25,Fabriano,2009,2012
Fabriano,1.0,374.0,6,Fallita,25,Fabriano,2004,2011
Fabriano,1.0,367.0,0,Cessata (In liquidazione),47,Fabriano,2000,2009
Fabriano,1.0,358.0,5,Cessata,31,Fabriano,2000,2012
Fabriano,1.0,356.0,0,In liquidazione,41,Fabriano,2005,2013
Fabriano,1.0,356.0,0,Cessata (Fusione),77,Fabriano,1993,2020
Fabriano,1.0,355.0,0,Cessata (In liquidazione),41,Fabriano,2005,2011
Fabriano,1.0,351.0,4,In liquidazione,41,Fabriano,1981,2018
Fabriano,1.0,351.0,3,Fallita,27,Fabriano,2005,2011
Fabriano,1.0,332.0,0,In liquidazione,41,Fabriano,2007,2020
Fabriano,1.0,328.0,2,Cessata (In liquidazione),46,Fabriano,2006,2013
Fabriano,1.0,317.0,2,In liquidazione,27,Fabriano,2008,2012
Fabriano,1.0,313.0,0,Cessata (In liquidazione),14,Fabriano,2007,2015
Fabriano,1.0,313.0,6,Cessata (In liquidazione),41,Fabriano,2011,2012
Fabriano,1.0,312.0,6,Cessata,70,Fabriano,2008,2017
Fabriano,1.0,303.0,7,In liquidazione,10,Fabriano,2009,2013
Fabriano,1.0,290.0,11,Fallita,55,Fabriano,2010,2013
Fabriano,1.0,289.0,0,In liquidazione,56,Fabriano,2009,2010
Fabriano,1.0,283.0,3,Fallita,22,Fabriano,2006,2010
Fabriano,1.0,266.0,0,Cessata (Chiusura per fallimento),17,Fabriano,2001,2010
Fabriano,1.0,261.0,3,In liquidazione,49,Fabriano,1982,2019
Fabriano,1.0,251.0,15,Cessata,52,Fabriano,1995,2006
Fabriano,1.0,250.0,30,Cessata (Fusione),02,Fabriano,2002,2017
Fabriano,1.0,249.0,2,Cessata (Fusione),24,Fabriano,2006,2018
Fabriano,1.0,239.0,5,Cessata (Chiusura per fallimento),10,Fabriano,2005,2009
Fabriano,1.0,235.0,4,Attiva (Stato di insolvenza),85,Fabriano,1993,2015
Fabriano,1.0,226.0,5,Cessata (In liquidazione),41,Fabriano,2014,2015
Fabriano,1.0,202.0,1,Cessata (In liquidazione),22,Fabriano,1980,2010
Fabriano,1.0,199.0,14,Fallita,14,Fabriano,1988,2018
Fabriano,1.0,180.0,1,Fallita,62,Fabriano,2004,2017
Fabriano,1.0,178.0,0,In liquidazione,41,Fabriano,2008,2009
Fabriano,1.0,170.0,7,Cessata (In liquidazione),41,Fabriano,2010,2012
Fabriano,1.0,166.0,2,Cessata (In liquidazione),46,Fabriano,2000,2010
Fabriano,1.0,146.0,4,In liquidazione,41,Fabriano,2009,2014
Fabriano,1.0,145.0,0,Cessata (Fusione),41,Fabriano,1969,2008
Fabriano,1.0,142.0,0,Cessata (In liquidazione),47,Fabriano,1981,2008
Fabriano,1.0,138.0,2,Fallita,41,Fabriano,1982,2012
Fabriano,1.0,123.0,3,Cessata (In liquidazione),56,Fabriano,2012,2014
Fabriano,1.0,121.0,5,In liquidazione,56,Fabriano,2012,2012
Fabriano,1.0,118.0,3,Cessata (In liquidazione),41,Fabriano,2012,2018
Fabriano,1.0,117.0,0,Cessata,66,Fabriano,2001,2010
Fabriano,1.0,112.0,2,Cessata (Chiusura per fallimento),47,Fabriano,2001,2009
Fabriano,1.0,111.0,0,Cessata (In liquidazione),82,Fabriano,2011,2014
Fabriano,1.0,109.0,0,Fallita,25,Fabriano,2006,2006
Fabriano,1.0,104.0,2,Fallita,41,Fabriano,2010,2014
Fabriano,1.0,100.0,0,Cessata (Fusione),68,Fabriano,1980,2006
Fabriano,1.0,98.0,1,Cessata (In liquidazione),56,Fabriano,2014,2018
Fabriano,1.0,97.0,0,In liquidazione,46,Fabriano,2006,2008
Fabriano,1.0,96.0,0,Cessata,68,Fabriano,2002,2008
Fabriano,1.0,95.0,0,In liquidazione,56,Fabriano,1997,2014
Fabriano,1.0,90.0,0,Fallita,68,Fabriano,2006,2011
Fabriano,1.0,88.0,0,Cessata,74,Fabriano,2007,2008
Fabriano,1.0,80.0,0,Cessata (In liquidazione),35,Fabriano,2011,2017
Fabriano,1.0,76.0,2,Cessata (In liquidazione),56,Fabriano,2005,2015
Fabriano,1.0,75.0,4,In liquidazione,56,Fabriano,2013,2019
Fabriano,1.0,75.0,0,Fallita,68,Fabriano,2002,2017
Fabriano,1.0,74.0,3,Cessata (In liquidazione),79,Fabriano,2014,2019
Fabriano,1.0,74.0,0,In liquidazione,16,Fabriano,2008,2009
Fabriano,1.0,73.0,0,Cessata,86,Fabriano,2007,2008
