Comune,Distance_from_epicenter
Ripatransone,52.759803306523274
Trecastelli,100.15420787116933
Massa Fermana,47.48849893719718
Monsampietro Morico,42.85055691153311
Servigliano,39.86249352194359
Montappone,45.03705716357268
Amandola,26.311051377099957
Petritoli,49.7438848350876
Sant'Elpidio a Mare,65.81376767323127
Santa Vittoria in Matenano,36.23550417941583
Peglio,115.92900377949277
Orciano di Pesaro,103.18729808227435
Montefano,71.98778167589096
San Lorenzo in Campo,93.73430578242
Saltara,109.78275102422515
Montecassiano,67.22779886164022
Monte Cavallo,27.73979737671572
Spinetoli,49.488710063496235
Piandimeleto,123.94525253753037
Piobbico,104.00927027136996
Mondavio,99.54320561566607
Castelsantangelo sul Nera,10.180548917482918
Sassoferrato,78.55636717383341
Roccafluvione,22.014664314827307
Rotella,34.84207705660691
San Benedetto del Tronto,58.813726867730075
Falconara Marittima,94.06058019428414
Sant'Angelo in Vado,115.50290245168107
Venarotta,28.427030220697894
Offida,46.300638444760104
Fabriano,64.60903645203142
Lunano,122.99884432023435
Acqualagna,104.08529349766616
Cantiano,88.15899185226014
Frontone,88.17026585894803
Carpegna,129.45923628553783
Frontino,127.52974045109592
Barchi,101.30483797998075
Montalto delle Marche,42.65376812599321
Palmiano,27.261319910405675
Montefiore dell'Aso,54.61259162903552
Massignano,59.072192907746484
Monsampolo del Tronto,51.46904892227284
Grottammare,58.52354722244937
Maltignano,41.63277976108954
Montemonaco,14.030893854708827
Montegallo,13.6012796621351
Monteprandone,55.26991064733273
Montedinove,38.49851343225956
Borgo Pace,121.24673064831637
Fossombrone,102.43765693693531
Fratte Rosa,97.37491724279201
Cagli,96.43736393765624
Isola del Piano,110.04672084066195
Cartoceto,112.35485455805923
San Costanzo,107.9948711935679
Mercatello sul Metauro,116.70866863953874
Apecchio,105.74783899387593
Fermignano,106.57871571842709
Belforte all'Isauro,122.36721342754872
Montelupone,68.89078907657493
Polverigi,83.08517084992918
Gualdo,34.1608828834238
Castelleone di Suasa,92.71257924093818
Monsano,87.12211815164697
Apiro,66.42046090213773
Senigallia,99.51052781152305
Appignano,66.48614051507954
Belforte del Chienti,42.24865098561105
Castelfidardo,81.41612479528305
Bolognola,22.233336081420877
Fiordimonte,27.152928980067397
Montecarotto,84.3272233077092
Chiaravalle,91.98651250337578
Offagna,85.21528498680289
Castelraimondo,47.55397331306309
Rosora,78.4103493833122
Staffolo,72.52506004551398
Poggio San Marcello,81.53433033148487
Ostra Vetere,91.17089195256646
Fiastra,29.631418563704553
Loro Piceno,46.23084720640527
Serra San Quirico,73.46035689363673
Monte Roberto,77.50310266142841
Morro d'Alba,91.628636960229
Corinaldo,96.46118899460801
Gagliole,51.35548385091116
Esanatoglia,55.109428160787935
Corridonia,57.84118173493041
Fiuminata,48.15839790032151
Sirolo,88.18392608490515
Cerreto d'Esi,61.14489945845522
Acquacanina,24.812084856170447
Camerino,39.76453324451858
Camporotondo di Fiastrone,39.35958811996244
Cupramontana,73.90604275290345
Osimo,80.79963273499901
Macerata,61.47667181500206
Castelplanio,80.25553404520892
Monte San Vito,91.04648043170519
Numana,85.51775951671512
Caldarola,37.77359445114944
Ostra,91.80890617499898
Genga,73.85908031565069
Montemarciano,95.5927297598377
Mondolfo,107.31952423782718
Serrungarina,110.23104601512217
Castelbellino,78.89051997836887
Serra Sant'Abbondio,85.3246278303293
Camerano,87.33194775618715
Camerata Picena,89.65017554840843
Belvedere Ostrense,87.03114196680397
Jesi,81.39475911591094
Loreto,80.26861087009925
San Paolo di Jesi,75.23011466594927
Santa Maria Nuova,78.75427513002096
San Giorgio di Pesaro,104.74107084406651
Agugliano,86.6243451853713
Mergo,77.44303097439405
Urbino,115.20365174847285
Civitanova Marche,71.3715657747916
Sassocorvaro,123.90058381058269
Pergola,91.47994605530631
San Marcello,86.26667433338922
Montefelcino,111.61233455938333
Arcevia,84.25890267778546
Barbara,89.45295675897013
Montemaggiore al Metauro,107.83829073286002
Monte Porzio,102.3024990172966
Cessapalombo,34.03762352037116
Sant'Ippolito,102.4966280033678
Petriano,116.89480734998854
Piagge,107.49982050387175
Filottrano,73.76437114130992
Serra de' Conti,85.14653165872666
Cingoli,66.45013516145939
Recanati,73.95212274069586
Acquasanta Terme,18.578856226503273
Force,32.063431091192676
Visso,19.71265714433568
San Severino Marche,53.55796685709978
Matelica,55.4309980652052
Colmurano,44.7671447189273
Mogliano,50.995662141589705
Ripe San Ginesio,42.487877584279886
San Ginesio,36.67268180472462
Monte San Giusto,59.6735057468958
Maiolati Spontini,78.9663514477677
Monte San Martino,33.43718347527912
Urbania,110.00913259482029
Ancona,90.90643991656131
