Comune,media_prima,Comune,media_dopo,var
San Severino Marche,78562.0221786593,San Severino Marche,85599.22637631976,8.957514079330876
Sant'Angelo in Pontano,8596.816766605167,Sant'Angelo in Pontano,7164.802677224736,-16.657492281831253
Sarnano,18657.738558323083,Sarnano,18303.707918552038,-1.8975002713451257
Sefro,2931.1082026445265,Sefro,3287.4249245852184,12.156382409192984
Serrapetrona,8046.994093378433,Serrapetrona,9774.947473604827,21.473277601238223
Serravalle di Chienti,11688.356229499794,Serravalle di Chienti,12062.778978129714,3.203382419890055
Tolentino,89482.46753280032,Tolentino,97721.82922322776,9.207794462537873
Treia,57917.97551506765,Treia,60619.50420437406,4.664404557102648
Urbisaglia,12693.199210742107,Urbisaglia,13486.918193815987,6.253104279669428
Ussita,4991.460421791718,Ussita,1701.5706636500754,-65.91036450531877
Visso,11314.59450594506,Visso,7307.1297888386125,-35.41854473883968
Cascia,22675.92145858959,Cascia,21290.919664404224,-6.107808217252093
Cerreto di Spoleto,6718.963586510865,Cerreto di Spoleto,6991.721757164404,4.059527442612346
Monteleone di Spoleto,4937.514965149652,Monteleone di Spoleto,4448.155165912519,-9.911054501934077
Norcia,33181.46758405084,Norcia,28361.90273378582,-14.524869456291366
Poggiodomo,4665.8786644116435,Poggiodomo,3887.5552790346915,-16.681175001688494
Preci,6358.53501691267,Preci,5426.021644042233,-14.665538058532396
Sant'Anatolia di Narco,5085.903392783927,Sant'Anatolia di Narco,4848.902714932126,-4.659952412546145
Scheggino,3717.8656083435835,Scheggino,3977.7777903469087,6.990897718842601
Sellano,5280.26709204592,Sellano,13004.115271493212,146.27760385610662
Spoleto,152395.43282339073,Spoleto,156949.59100678732,2.988382328146507
Vallo di Nera,4630.074992312423,Vallo di Nera,4543.841270739065,-1.8624692195382697
Accumoli,5414.546907031569,Accumoli,2400.6668929110106,-55.66264483195448
Amatrice,13897.100130688808,Amatrice,10087.312273755657,-27.41426499849447
Antrodoco,9018.097183784337,Antrodoco,9489.352337858221,5.225660629619957
Borbona,2936.6430914309144,Borbona,3370.0139517345397,14.757355484164748
Borgo Velino,4357.303518347684,Borgo Velino,4647.286067119156,6.655091791297446
Cantalice,8658.041897293971,Cantalice,8957.038499245851,3.453397494476547
Castel Sant'Angelo,5493.898869926199,Castel Sant'Angelo,6547.007202111614,19.16868797767953
Cittaducale,22836.629381918818,Cittaducale,23217.02963800905,1.6657460684255803
Cittareale,3709.8674021115216,Cittareale,3437.1350867269985,-7.351538096194324
Leonessa,10587.594390631408,Leonessa,10815.227846907994,2.150001670615668
Micigliano,3004.9748359983605,Micigliano,3556.25116892911,18.34545588624191
Poggio Bustone,4482.159299405494,Poggio Bustone,4696.23399321267,4.776150946611171
Posta,4497.8007123821235,Posta,3995.8905920060324,-11.159011980997033
Rieti,114709.21391963921,Rieti,126711.74302413275,10.463439417257316
