Comune,RCR FORECAST,RCR ACTUAL,OOPP,SMALL DAMAGE REQ.,GREAT DAMAGE REQ.,TOT REQ.,ACCEPTED REQ.,BUILDING STARTED,BUILIDING CONCLUDED,SMALL DAMAGE,GREAT DAMAGE,TOT. DAMAGE,N_Interventi,Eur_Interventi,N_Interventi_priv,Eur_Interventi_priv,N_Interventi_pubb,Eur_Interventi_pubb,pop_iniz_2016,DELTA FORECAST ACTUAL,DELTA G DAMAGE Interventi,P RCR
Colli del Tronto,0.018508132361189006,0.00448681996634885,0.002243409983174425,0.00448681996634885,0.0025238362310712283,0.007010656197420078,0.0036455412226584407,0.0036455412226584407,0.001962983735277622,0.01065619742007852,0.008132361189007292,0.01878855860908581,0.01682557487380819,7132.874570947841,0.008132361189007292,4354.70765844083,0.002243409983174425,696.845123387549,3566,0.014021312394840156,-0.01430173864273696,0.24242424242424243
Colmurano,0.23317683881064163,0.028951486697965573,0.004694835680751174,0.03051643192488263,0.013302034428794992,0.04381846635367762,0.013302034428794992,0.013302034428794992,0.006259780907668232,0.07042253521126761,0.162754303599374,0.23317683881064163,0.1784037558685446,58288.26708920188,0.05086071987480438,13578.12661971831,0.005477308294209703,2654.92848200313,1278,0.20422535211267606,-0.1651017214397496,0.12416107382550336
Comunanza,0.11267166042446941,0.019350811485642945,0.0006242197253433209,0.024656679151061175,0.00749063670411985,0.032147315855181026,0.014044943820224719,0.014044943820224719,0.009363295880149813,0.04931335830212235,0.06460674157303371,0.11392009987515606,0.09644194756554307,36395.75829588015,0.03526841448189763,10931.138916978778,0.002184769038701623,1538.703086766542,3204,0.09332084893882647,-0.08895131086142322,0.17174515235457063
Corridonia,0.031001174781360136,0.004242266022712439,0.0003263281555932646,0.006396031849627986,0.0011747813601357526,0.0075708132097637385,0.003067484662576687,0.003067484662576687,0.0020885001957968935,0.014423704477222295,0.01670800156637515,0.03113170604359744,0.022451377104816605,8344.032192925206,0.008680328938780839,2220.832579950398,0.0006526563111865292,1365.377888004177,15322,0.026758908758647695,-0.02127659574468085,0.1368421052631579
Cossignano,0.1497536945812808,0.03645320197044335,0.019704433497536946,0.034482758620689655,0.016748768472906402,0.05123152709359606,0.026600985221674877,0.026600985221674877,0.017733990147783252,0.059113300492610835,0.0916256157635468,0.15073891625615762,0.12610837438423644,46584.32378325123,0.05714285714285714,12544.430866995073,0.0049261083743842365,1645.383251231527,1015,0.11330049261083744,-0.10935960591133005,0.24342105263157895
Esanatoglia,0.11457848160223567,0.03493246390312063,0.0032603632976245926,0.037261294829995344,0.004191895668374476,0.04145319049836982,0.025617140195621797,0.025617140195621797,0.022822543083372147,0.04937121564974383,0.0656730321378668,0.11504424778761062,0.10805775500698649,38560.772901723336,0.04517931998136935,6887.811788542152,0.0032603632976245926,3329.995006986493,2147,0.07964601769911504,-0.10386585933861202,0.3048780487804878
Fabriano,0.012475822050290136,0.003159252095422308,0.0003546099290780142,0.004319793681495809,0.0008704061895551257,0.005190199871050935,0.0015473887814313346,0.0015473887814313346,0.0007092198581560284,0.0068020631850419086,0.005705996131528047,0.012508059316569954,0.011702127659574468,7867.472050934881,0.005963894261766602,3062.2227311411993,0.0003546099290780142,723.6706866537718,31020,0.009316569954867827,-0.010831721470019342,0.2532299741602067
Falerone,0.10338733431516936,0.016494845360824743,0.0002945508100147275,0.024447717231222386,0.00471281296023564,0.029160530191458027,0.01561119293078056,0.01561119293078056,0.008836524300441826,0.0374079528718704,0.0662739322533137,0.1036818851251841,0.08159057437407953,30423.376391752576,0.03181148748159057,7110.9302680412375,0.0014727540500736377,3240.3196907216493,3395,0.08689248895434462,-0.07687776141384389,0.15954415954415954
Fiastra,1.1280276816608996,0.32006920415224915,0.01384083044982699,0.23875432525951557,0.14359861591695502,0.38235294117647056,0.22664359861591696,0.22664359861591696,0.12975778546712802,0.31141868512110726,0.8235294117647058,1.1349480968858132,1.0916955017301038,447309.62842560554,0.5,171560.9693598616,0.0328719723183391,31530.114152249134,578,0.8079584775086506,-0.9480968858131488,0.2837423312883436
Fiuminata,0.1229124916499666,0.02404809619238477,0.01002004008016032,0.026052104208416832,0.006680026720106881,0.032732130928523714,0.014028056112224449,0.014028056112224449,0.01068804275217101,0.053440213760855046,0.07147628590514363,0.12491649966599866,0.09485637942551771,26835.497648630593,0.038744154976619906,5928.417154308618,0.006680026720106881,2783.524682698731,1497,0.09886439545758183,-0.08817635270541083,0.1956521739130435
Folignano,0.01881315846054612,0.0056976994194796815,0.0006450225757901526,0.00612771447000645,0.0016125564394753817,0.0077402709094818315,0.004945173081057837,0.004945173081057837,0.002902601591055687,0.007955278434745217,0.010965383788432596,0.01892066222317781,0.016448075682648892,7040.394150720275,0.008492797247903677,2921.9571511502904,0.0006450225757901526,1084.175446140615,9302,0.013115459041066438,-0.014835519243173511,0.3028571428571429
Force,0.27521008403361347,0.03361344537815126,0.00980392156862745,0.03991596638655462,0.0196078431372549,0.05952380952380952,0.0273109243697479,0.0273109243697479,0.01330532212885154,0.10224089635854341,0.17366946778711484,0.2759103641456583,0.18137254901960784,93043.16212184874,0.06932773109243698,21493.38224789916,0.004201680672268907,4563.839285714285,1428,0.2415966386554622,-0.16176470588235295,0.12213740458015267
Gagliole,0.2778625954198473,0.04885496183206107,0.010687022900763359,0.04732824427480916,0.025954198473282442,0.0732824427480916,0.04122137404580153,0.04122137404580153,0.021374045801526718,0.08244274809160305,0.1969465648854962,0.27938931297709924,0.22748091603053436,112064.45589312977,0.08702290076335878,32087.71093129771,0.00916030534351145,1171.8915877862596,655,0.22900763358778625,-0.2015267175572519,0.17582417582417584
Gualdo,0.6002304147465438,0.06566820276497695,0.002304147465437788,0.05414746543778802,0.05414746543778802,0.10829493087557604,0.04377880184331797,0.04377880184331797,0.021889400921658985,0.15552995391705068,0.44815668202764974,0.6036866359447005,0.3824884792626728,143141.93355990783,0.11405529953917051,34864.52368663594,0.008064516129032258,10620.673122119815,868,0.5345622119815668,-0.3283410138248848,0.10940499040307101
Loro Piceno,0.1354292623941959,0.021362353889560662,0.0008061265618702137,0.023377670294236194,0.007658202337767029,0.031035872632003223,0.013704151551793631,0.013704151551793631,0.00886739218057235,0.04353083434099154,0.09189842805320435,0.1354292623941959,0.13301088270858524,51275.89143893591,0.03466344216041919,9935.2064006449,0.0048367593712212815,1919.7296654574768,2481,0.11406690850463523,-0.12535268037081823,0.15773809523809523
Macerata,0.02039553535305457,0.004426568933101692,0.00023798757704847806,0.005854494395392561,0.0014279254622908684,0.007282419857683429,0.001856303100978129,0.001856303100978129,0.000999547823603608,0.011209214878983317,0.009305314262595493,0.02051452914157881,0.015588186296675313,14752.211626407103,0.008234370165877341,5931.090779647302,0.0009519503081939122,2854.559175611033,42019,0.01596896641995288,-0.014160260834384444,0.21703617269544925
Maltignano,0.05517519130084575,0.01369311316955296,0.004832863471606927,0.02013693113169553,0.003624647603705195,0.023761578735400725,0.005638340716874748,0.005638340716874748,0.004027386226339106,0.029802658074909383,0.02577527184857028,0.05557792992347966,0.05759162303664921,17726.356741844542,0.024969794603302457,5236.716814337495,0.002013693113169553,437.7766572694321,2483,0.04148207813129279,-0.05396697543294402,0.24817518248175183
Massa Fermana,0.06686626746506986,0.00499001996007984,0.021956087824351298,0.008982035928143712,0.001996007984031936,0.010978043912175649,0.0029940119760479044,0.0029940119760479044,0.001996007984031936,0.015968063872255488,0.05189620758483034,0.06786427145708583,0.0658682634730539,23602.192724550896,0.012974051896207584,3018.3001197604794,0.00499001996007984,4188.835528942116,1002,0.06187624750499002,-0.06387225548902195,0.07462686567164178
Matelica,0.0641579878168599,0.010905875417567303,0.00019650225977598743,0.013067400275103164,0.00422479858518373,0.017292198860286892,0.007761839261151504,0.007761839261151504,0.004323049715071723,0.023776773432894478,0.0406759677736294,0.06445274120652388,0.04794655138534093,34203.48270190607,0.0203379838868147,11050.764148162703,0.001375515818431912,2335.982820789939,10178,0.05325211239929259,-0.0437217528001572,0.16998468606431852
Mogliano,0.07940498638173057,0.011104127383197151,0.001047559187094071,0.013199245757385292,0.0033521893987010264,0.016551435156086317,0.008380473496752567,0.008380473496752567,0.0056568196103079825,0.034569453174104335,0.04525455688246386,0.0798240100565682,0.056568196103079824,21352.463718835115,0.018437041692855646,4948.478927299393,0.001257071024512885,1916.7052566520008,4773,0.06830085899853341,-0.053216006704378795,0.13984168865435356
Monsampietro Morico,0.1656891495601173,0.004398826979472141,0.013196480938416423,0.010263929618768328,0.004398826979472141,0.01466275659824047,0.005865102639296188,0.005865102639296188,0.001466275659824047,0.03372434017595308,0.1348973607038123,0.16862170087976538,0.12023460410557185,53872.86709677419,0.016129032258064516,3277.7580645161293,0.007331378299120235,2860.6004985337245,682,0.16129032258064516,-0.1158357771260997,0.02654867256637168
Montalto delle Marche,0.0915929203539823,0.012389380530973451,0.023008849557522124,0.012831858407079646,0.008849557522123894,0.02168141592920354,0.00663716814159292,0.00663716814159292,0.0035398230088495575,0.034955752212389384,0.05752212389380531,0.09247787610619469,0.0836283185840708,38432.397774336285,0.02654867256637168,7855.164278761062,0.002654867256637168,2346.5132743362833,2260,0.07920353982300884,-0.0747787610619469,0.13526570048309178
Montappone,0.06918238993710692,0.010863350485991996,0.004574042309891366,0.010863350485991996,0.003430531732418525,0.01429388221841052,0.00686106346483705,0.00686106346483705,0.002287021154945683,0.020011435105774727,0.04974271012006861,0.06975414522584333,0.05889079473985134,20799.489353916524,0.018296169239565466,5192.337913093196,0.002287021154945683,633.4476843910807,1749,0.058319039451114926,-0.05546026300743282,0.15702479338842976
Monte Cavallo,0.9395973154362416,0.09395973154362416,0.040268456375838924,0.1476510067114094,0.04697986577181208,0.19463087248322147,0.04697986577181208,0.04697986577181208,0.03355704697986577,0.2684563758389262,0.6845637583892618,0.9530201342281879,0.8389261744966443,277811.86912751675,0.22818791946308725,46009.892684563754,0.06711409395973154,17726.67322147651,149,0.8456375838926175,-0.7919463087248322,0.1
Monte Rinaldo,0.2040302267002519,0.030226700251889168,0.03526448362720403,0.027707808564231738,0.010075566750629723,0.037783375314861464,0.02518891687657431,0.02518891687657431,0.010075566750629723,0.04534005037783375,0.15869017632241814,0.2040302267002519,0.15113350125944586,53237.66171284635,0.04785894206549118,8750.389395465994,0.020151133501259445,8027.791964735517,397,0.17380352644836272,-0.14105793450881612,0.14814814814814814
Monte San Martino,0.31186868686868685,0.030303030303030304,0.010101010101010102,0.030303030303030304,0.026515151515151516,0.056818181818181816,0.016414141414141416,0.016414141414141416,0.010101010101010102,0.08585858585858586,0.2297979797979798,0.31565656565656564,0.21338383838383837,76647.21727272727,0.06818181818181818,18860.52267676768,0.008838383838383838,3380.8565909090908,792,0.2815656565656566,-0.18686868686868688,0.09716599190283401
Monte Vidon Corrado,0.04247104247104247,0.003861003861003861,0.007722007722007722,0.003861003861003861,0.001287001287001287,0.005148005148005148,0.003861003861003861,0.003861003861003861,0.002574002574002574,0.014157014157014158,0.029601029601029602,0.043758043758043756,0.04633204633204633,18348.97142857143,0.005148005148005148,2091.540025740026,0.005148005148005148,752.8957528957529,777,0.03861003861003861,-0.04504504504504504,0.09090909090909091
Montedinove,0.1603960396039604,0.03564356435643564,0.019801980198019802,0.023762376237623763,0.023762376237623763,0.047524752475247525,0.02574257425742574,0.02574257425742574,0.011881188118811881,0.047524752475247525,0.11485148514851486,0.16237623762376238,0.1504950495049505,63469.47398019802,0.06336633663366337,18808.66677227723,0.005940594059405941,1461.8851485148514,505,0.12475247524752475,-0.12673267326732673,0.2222222222222222
Montefalcone Appennino,0.21348314606741572,0.03146067415730337,0.056179775280898875,0.03146067415730337,0.01348314606741573,0.0449438202247191,0.015730337078651686,0.015730337078651686,0.006741573033707865,0.060674157303370786,0.1550561797752809,0.2157303370786517,0.2,77191.0922247191,0.0449438202247191,11267.044,0.008988764044943821,2251.6853932584268,445,0.18202247191011237,-0.18651685393258427,0.14736842105263157
Montefortino,0.41515650741350907,0.06342668863261944,0.004942339373970346,0.07660626029654036,0.023887973640856673,0.10049423393739704,0.05354200988467875,0.05354200988467875,0.023064250411861616,0.1886326194398682,0.22899505766062603,0.41762767710049425,0.3649093904448105,129078.38000823725,0.12767710049423395,40023.35965403624,0.01070840197693575,6449.435370675453,1214,0.3517298187808896,-0.34102141680395387,0.1527777777777778
Montegallo,1.4781849912739966,0.16928446771378708,0.031413612565445025,0.1343804537521815,0.08900523560209424,0.22338568935427575,0.12041884816753927,0.12041884816753927,0.07329842931937172,0.450261780104712,1.0279232111692844,1.4781849912739966,1.2547993019197208,483005.05966841185,0.2792321116928447,96644.26008726003,0.04013961605584642,27919.33542757417,573,1.3089005235602094,-1.1657940663176265,0.11452184179456906
Montegiorgio,0.044221105527638194,0.006891600861450108,0.0012921751615218953,0.008470926058865758,0.002871500358937545,0.011342426417803302,0.004881550610193826,0.004881550610193826,0.002440775305096913,0.018090452261306532,0.026848528356066045,0.04493898061737258,0.03244795405599426,14107.635796123473,0.01306532663316583,2649.3556439339554,0.001148600143575018,2001.199727207466,6965,0.03732950466618808,-0.029576453697056714,0.15584415584415584
Monteleone di Fermo,0.19036697247706422,0.016055045871559634,0.020642201834862386,0.02522935779816514,0.0,0.02522935779816514,0.006880733944954129,0.006880733944954129,0.0045871559633027525,0.02981651376146789,0.11697247706422019,0.14678899082568808,0.13073394495412843,35601.92616972477,0.03669724770642202,11116.639105504588,0.013761467889908258,2901.376146788991,436,0.1743119266055046,-0.13073394495412843,0.08433734939759036
Montelparo,0.13008130081300814,0.016260162601626018,0.008130081300813009,0.023228803716608595,0.0023228803716608595,0.025551684088269456,0.010452961672473868,0.010452961672473868,0.005807200929152149,0.04645760743321719,0.08362369337979095,0.13008130081300814,0.11033681765389082,52537.097351916374,0.0313588850174216,5239.892775842044,0.008130081300813009,6310.993832752613,861,0.11382113821138211,-0.10801393728222997,0.125
Montemonaco,0.6755905511811023,0.11496062992125984,0.009448818897637795,0.11338582677165354,0.06456692913385827,0.17795275590551182,0.09291338582677165,0.09291338582677165,0.04251968503937008,0.2692913385826772,0.4078740157480315,0.6771653543307087,0.5811023622047244,213044.98828346457,0.2204724409448819,62932.421165354324,0.01889763779527559,13447.273653543307,635,0.5606299212598426,-0.5165354330708661,0.17016317016317017
Muccia,0.751345532831001,0.07857911733046287,0.007534983853606028,0.04305705059203445,0.0688912809472551,0.11194833153928956,0.04413347685683531,0.04413347685683531,0.023681377825618945,0.13670613562970937,0.6157158234660925,0.7524219590958019,0.5586652314316469,297581.77963401505,0.15715823466092574,119005.40131324003,0.017222820236813777,18413.03085037675,929,0.6727664155005382,-0.4897739504843918,0.10458452722063037
Offida,0.0598274209012464,0.00977948226270374,0.0017257909875359539,0.01476510067114094,0.0032598274209012464,0.018024928092042185,0.008437200383509109,0.008437200383509109,0.004026845637583893,0.0224352828379674,0.037775647171620325,0.06021093000958773,0.06040268456375839,32566.33690316395,0.020709491850431447,5286.795441994247,0.0011505273250239693,2423.20230105465,5215,0.05004793863854266,-0.05714285714285714,0.16346153846153846
Ortezzano,0.056890012642225034,0.01643489254108723,0.041719342604298354,0.01643489254108723,0.0050568900126422255,0.021491782553729456,0.012642225031605562,0.012642225031605562,0.008849557522123894,0.029077117572692796,0.029077117572692796,0.05815423514538559,0.05562579013906448,19065.88333754741,0.025284450063211124,3691.7215170670042,0.007585335018963337,1670.4424778761063,791,0.040455120101137804,-0.05056890012642225,0.28888888888888886
Palmiano,0.38317757009345793,0.0514018691588785,0.014018691588785047,0.04672897196261682,0.004672897196261682,0.0514018691588785,0.04672897196261682,0.04672897196261682,0.037383177570093455,0.12149532710280374,0.27102803738317754,0.3925233644859813,0.3177570093457944,102017.23182242991,0.07009345794392523,15339.433551401868,0.02336448598130841,5639.742990654206,214,0.3317757009345794,-0.3130841121495327,0.13414634146341464
Penna San Giovanni,0.3223570190641248,0.030329289428076257,0.004332755632582322,0.049393414211438474,0.014731369150779897,0.06412478336221837,0.018197573656845753,0.018197573656845753,0.012131715771230503,0.11005199306759099,0.21403812824956672,0.3240901213171577,0.21663778162911612,70780.9866897747,0.07365684575389948,16490.614818024264,0.005199306759098787,1682.842287694974,1154,0.2920277296360485,-0.2019064124783362,0.09408602150537634
Petriolo,0.125948406676783,0.014162873039959535,0.008598887202832575,0.019726858877086494,0.0025290844714213456,0.02225594334850784,0.01112797167425392,0.01112797167425392,0.0065756196256954984,0.048052604957005564,0.07840161861406171,0.12645422357106728,0.09509357612544259,31537.635083459787,0.025290844714213456,4283.729317147192,0.0030349013657056147,572.5847243297926,1977,0.11178553363682348,-0.09256449165402124,0.11244979919678715
Pieve Torina,0.9291975724881996,0.10586648685097774,0.004045853000674309,0.07754551584625759,0.06810519217801753,0.14565070802427513,0.05124747134187458,0.05124747134187458,0.018880647336480108,0.1827376938637896,0.0007579231287929873,0.18349561699258263,0.7140930546190155,316460.55545515846,0.20633850303438975,107684.19475387727,0.014834794335805798,22383.429359406608,1483,0.8233310856372218,-0.6459878624409979,0.11393323657474601
Pioraco,0.312,0.0616,0.0048,0.0696,0.012,0.0816,0.048,0.048,0.032,0.1288,0.1896,0.3184,0.196,71833.230888,0.0952,24403.849791999997,0.0112,4225.37068,1250,0.2504,-0.184,0.19743589743589743
Poggio San Vicino,0.15151515151515152,0.006734006734006734,0.030303030303030304,0.02356902356902357,0.003367003367003367,0.026936026936026935,0.0,0.0,0.0,0.050505050505050504,0.10437710437710437,0.15488215488215487,0.13804713804713806,28319.661616161615,0.030303030303030304,3664.0923905723903,0.010101010101010102,1151.5151515151515,297,0.1447811447811448,-0.13468013468013468,0.044444444444444446
Pollenza,0.07002886222087194,0.007747227707732037,0.00045571927692541396,0.012000607625702568,0.0031900349384778974,0.015190642564180465,0.004557192769254139,0.004557192769254139,0.0033419413641197025,0.02217833814370348,0.04800243050281027,0.07018076864651375,0.05028102688743734,18087.297899134133,0.017773051800091144,5067.92587422148,0.0006076257025672186,91.4476682363664,6583,0.06228163451313991,-0.04709099194895944,0.11062906724511931
Ripe San Ginesio,0.20930232558139536,0.03255813953488372,0.00813953488372093,0.031395348837209305,0.015116279069767442,0.046511627906976744,0.020930232558139535,0.020930232558139535,0.009302325581395349,0.0755813953488372,0.13488372093023257,0.21046511627906977,0.16744186046511628,52353.487465116275,0.05813953488372093,13951.606651162792,0.005813953488372093,1886.046511627907,860,0.17674418604651163,-0.15232558139534882,0.15555555555555556
Roccafluvione,0.15623483745754488,0.03153808830664726,0.0019408054342552159,0.033478893740902474,0.012615235322658904,0.046094129063561376,0.023289665211062592,0.023289665211062592,0.016982047549733138,0.06501698204754973,0.09170305676855896,0.1567200388161087,0.13925278990781173,45981.862959728285,0.051916545366327026,15036.911591460455,0.003396409509946628,1032.0937360504608,2061,0.12469674915089762,-0.12663755458515283,0.20186335403726707
