Comune,Cratere Centro Italia 2016,Variaz
Civitanova Marche,0,9.928207100708706
Civitaquana,0,17.534247682419068
Civitella Casanova,0,0.03629786124398168
Civitella San Paolo,0,11.091006840012433
Civitella d'Agliano,0,-11.333550082221215
Civitella del Tronto,1,1.1551159337182335
Collalto Sabino,0,-19.797862646825333
Collazzone,0,-2.1608154678308953
Colle di Tora,0,-4.217737706361106
Collecorvino,0,10.95010544818157
Colledara,0,-5.713078927378117
Collegiove,0,-17.567509436010837
Collepietro,0,7.607525922164826
Collevecchio,0,0.024821649668758362
Colli del Tronto,1,11.935185145454783
Colli sul Velino,0,-0.07200849747936383
Colmurano,1,9.929230339987232
Colonnella,0,6.220266048964964
Comunanza,1,-7.672104340683679
Concerviano,0,-17.619536939945416
Configni,0,0.32815781288731105
Contigliano,0,-4.5928879142122545
Controguerra,0,15.244677943669924
Corchiano,0,3.180589407389864
Corciano,0,10.709230600017813
Corfinio,0,-3.422251286420957
Corinaldo,0,-6.198428265656501
Corridonia,1,8.899689781503955
Corropoli,0,20.19023130163705
Cortino,1,4.867720992535003
Cortona,0,1.5673597551283045
Corvara,0,9.481298661023253
Cossignano,1,-5.199512077843284
Costacciaro,0,8.218182515189877
Cottanello,0,2.023556421976819
Crecchio,0,3.9793015117090045
Crognaleto,1,-6.119926783311883
Cugnoli,0,6.049613937688603
Cupra Marittima,0,4.212162268614906
Cupramontana,0,-5.256968814433938
Deruta,0,6.60259348942025
Elice,0,5.1990816271576845
Esanatoglia,1,10.501457971469904
Fabriano,1,9.3911590313277
Fabrica di Roma,0,21.58225557353383
Fabro,0,37.8289969221979
Fagnano Alto,0,-2.7583995295011574
Falconara Marittima,0,-5.205132819641904
Faleria,0,2.105638223076925
Falerone,1,0.29356303710899523
Fano,0,-8.486474246897139
Fano Adriano,0,-11.607861578847258
Fara Filiorum Petri,0,5.67174451078291
Fara in Sabina,0,-1.8675111105152717
Farindola,0,11.81304565894918
Ferentillo,1,-7.0934803558922175
Fermignano,0,10.946583471680551
