Comune,CRATER,PHONE_BEFORE,PHONE_AFTER,PCGH,MPE,MPE_INIT,MPE_END,DISTANCE FROM EPICENTER,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS,ABRUZZO,LAZIO,MARCHE,UMBRIA,ALT_MIN,ALT_MEAN,ALT_MED
Alba Adriatica,0.0,12421.133146934051,14534.0048937613,0.1701029786762067,-12.924079167022414,-12.12576270959978,-13.174766636745014,55.97242428369662,0.075327167248797,0.0080199073588271,0.0,0.0228679788334407,0.0040399346415026,0.0988022605645415,0.0049993254283529,0.1918181954458918,0.0051642207198428,0.4174923923308699,0.1127134269738715,0.0,0.0061610877093045,0.0280396947938059,0.0,0.0084246503470296,0.0,0.0059362304936365,0.0091966601208232,0.0009968669894616,1,0,0,0,0,32.70068,26
Allerona,0.0,3009.621249517933,3398.198157775769,0.1291115645598516,-2.98800464912007,2.6805581062773323,-4.768047689573122,94.16387205370027,0.2430555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,148,401.9342,381
Altidona,0.0,3722.329868877748,4426.692450271247,0.1892262658617784,-1.4754177718960295,-1.975737834478164,-1.3183071807589,57.0592567568374,0.002788848205691,0.0,0.0,0.0138812670367138,0.0,0.033844022418741,0.0036974729436742,0.7053446926419389,0.0013044612575006,0.1430409240983473,0.0676160745612062,0.0,0.0,0.0116861736102989,0.0,0.0058835700855546,0.0,0.010912493140333,0.0,0.0,0,0,1,0,0,91.99876,83
Alviano,0.0,1300.5829251831854,1306.4937613019893,0.004544759126352,-4.844110939883468,12.026932576013838,-10.141958893857169,72.2954574643321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8494508438253415,0.0,0.1505491561746584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,67,212.27,146
Amandola,1.0,6960.993251060548,7448.9213381555155,0.0700946071195557,-16.14601152663933,-2.843389225925644,-20.32330324377068,18.427902627010845,0.0067604110329908,0.0,0.0,0.0014679749671637,0.0067604110329908,0.0,0.0,0.3611218419222746,0.0009657730047129,0.5044811867418681,0.0241056941976357,0.0,0.0,0.0,0.0005794638028277,0.0516881712122382,0.0,0.0,0.042069072085297,0.0,0,0,1,0,305,604.1498,543
Amatrice,1.0,5160.892537601234,3156.8349683544307,-0.3883160818880919,-33.683988202235234,-16.59137716427442,-39.051412827167375,8.649987260623153,0.0191197349739706,0.0,0.0,0.0,0.0,0.0121154756270705,0.0,0.0435399905347846,0.0,0.6944628490298155,0.2285849503076195,0.0,0.0,0.0,0.0,0.0021769995267392,0.0,0.0,0.0,0.0,0,1,0,0,749,1255.907,1125
Amelia,0.0,14884.27328384111,15800.434889240509,0.0615523235786065,0.2989591059717876,-0.0937672782863846,0.4222831119440984,63.967963952578295,0.0115222627583001,0.0,0.0,0.0015776203287648,0.0,0.004620173819954,0.0,0.1003620075218683,0.0420886566281182,0.6964066879833223,0.0396799684475934,0.0,0.0407645824236192,0.0036059893228909,0.0002112884368881,0.0001549448537179,0.0,0.0264814840899807,0.0221711999774625,0.010353133407519,0,0,0,1,94,344.706,332
Ancarano,0.0,2967.7309005013494,3209.157301084991,0.0813505026829948,0.334460308616314,-2.495546112674632,1.2231394063046694,44.14746920625383,0.0,0.0,0.0,0.0033001973417496,0.0,0.0015981666314868,0.0,0.5326719536833218,0.0004422599483359,0.3299929305417349,0.093300096828125,0.0,0.021241879336744,8.041089969745399e-05,0.0001239668037002,0.0088083439710252,0.0,0.0,1.3401816616242332e-05,0.0084263921974623,1,0,0,0,20,180.0283,208
Ancona,0.0,98441.94251831857,105672.00820524411,0.0734449717464704,3.3560326701125125,4.689066459935286,2.937433172734907,81.18931927891327,0.0074941129495051,0.0,0.0,0.0070465697070963,0.0007454536139455,0.0104162911161717,0.3375096807317047,0.1258656410670666,0.0291418148244429,0.2663562688176211,0.0285088569376928,2.439666372912764e-06,0.0258775412174856,0.0373851764244737,0.0021333527060914,0.0140207626451296,0.0,0.0429394835334718,0.0148873863555965,0.0496691676861309,0,0,1,0,0,114.8916,102
Antrodoco,1.0,2939.074874662553,3078.275723327306,0.0473621308068019,2.9160351757149807,2.454171040310728,3.061069830059849,34.36715698009923,0.0,0.0,0.0,0.0109772103567593,0.0,0.017778308077795,0.0,0.3586684166567235,0.0,0.0936642405440878,0.4886051783796682,0.0,0.0,0.0,0.0,0.0279202959074096,0.0,0.0023863500775563,0.0,0.0,0,1,0,0,474,1166.07,1158
Apecchio,0.0,3847.466505977632,4259.799649638336,0.1071700411218864,-7.168570610813305,-5.354430258658042,-7.738247272712175,97.59591589436916,0.0008805723720418,0.0,0.0,0.0006604292790313,0.0,0.0236653824986241,0.0,0.8877270225646671,0.0079251513483764,0.0092460099064391,0.067473858007705,0.0,0.0,0.0,0.0,0.002421574023115,0.0,0.0,0.0,0.0,0,0,1,0,369,673.7538,663
Apiro,1.0,3811.799460084844,3893.8276220614825,0.0215195376450399,-17.092914584653396,0.736089116307213,-22.69158135885264,56.2810837697693,0.0440082317555801,0.0,0.0,0.0011714421402564,0.0,0.0,0.0,0.7219249643818269,0.0,0.0079784707930979,0.177394332752889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475225581763495,0,0,1,0,207,495.4225,431
Appignano,0.0,5046.416342074816,5968.483318264014,0.1827171825878506,19.40061975598935,-0.1942750154219057,25.55381194444121,56.609822305504345,0.0015036765718377,0.0,0.0,0.0091322188868386,0.0,0.0011291344220759,0.0007050205171986,0.8845969540910468,0.0019222825039244,0.0738343752581862,0.0116658863705213,0.0,0.0,0.0,0.0,0.0044118862052821,0.0,0.0,0.0003525102585993,0.0107460549144887,0,0,1,0,96,191.8135,197
